,Date,Time,spendingDetail,spendingAmount,currency,Bangkok Bank American Express,Bangkok Bank Visa Platinum,Visa Platinum KBank,THE PASSION Visa Signature KBank,CardX ULTRA PLATINUM,CardX MY TRAVEL,ttb so chill,ttb so fast,ttb absolute,KTC AGODA WORLD REWARDS MASTERCARD
0,2023-01-01,7:31,ซื้ออาหารจาก Grab,500,THB,20,20,20,40,20,20,20,50,50,20
1,2023-01-01,12:47,เติมน้ำมันที่ PTT,2000,THB,80,80,80,160,80,80,80,200,100,80
2,2023-01-01,16:53,ซื้อเสื้อผ้าที่ Central,1500,THB,60,60,60,120,300,60,60,150,75,60
3,2023-01-01,21:40,จองโรงแรมผ่าน Agoda,4000,THB,160,160,160,320,160,160,160,400,400,160
4,2023-01-02,9:19,ซื้อตั๋วเครื่องบินไปเชียงใหม่,5000,THB,200,200,200,400,200,200,200,500,500,200
5,2023-01-02,21:50,ชำระค่าสมาชิก Netflix,300,THB,12,12,12,24,12,12,12,30,15,12
6,2023-01-03,4:23,ซื้อกาแฟที่ Starbucks,150,THB,6,6,6,12,30,6,6,15,7,6
7,2023-01-03,6:24,ซื้อน้ำดื่มที่ 7-Eleven,100,THB,0,0,4,8,0,0,4,10,5,0
8,2023-01-03,12:58,รับประทานอาหารกลางวันที่ Food Court,300,THB,12,12,12,24,60,12,12,30,15,12
9,2023-01-03,1:38,ซื้อตั๋วชมภาพยนตร์,400,THB,16,16,16,32,80,16,16,40,20,16
10,2023-01-03,7:23,เติมเงินโทรศัพท์มือถือ,250,THB,10,10,10,20,10,10,10,25,12,10
11,2023-01-04,14:24,ซื้ออุปกรณ์อิเล็กทรอนิกส์ที่ Power Buy,6000,THB,240,240,240,480,240,240,240,600,600,240
12,2023-01-04,17:37,ชำระค่าบริการอินเทอร์เน็ต,1000,THB,40,40,40,80,40,40,40,100,100,40
13,2023-01-04,13:08,ซื้อขนมที่ Big C,200,THB,8,8,8,16,8,8,8,20,10,8
14,2023-01-04,9:20,ชำระค่าอาหารที่ร้านอาหาร,400,THB,16,16,16,32,80,16,16,40,20,16
15,2023-01-04,19:16,เติมน้ำมันที่ PTT,1500,THB,60,60,60,120,60,60,60,150,75,60
16,2023-01-05,19:05,ซื้อเครื่องดื่มที่ Starbucks,200,THB,8,8,8,16,40,8,8,20,10,8
17,2023-01-05,15:47,ชำระค่าไฟฟ้า,1000,THB,40,40,40,80,40,40,40,100,100,40
18,2023-01-05,0:18,ซื้อของออนไลน์ที่ Lazada,1200,THB,48,48,48,96,48,48,48,120,120,48
19,2023-01-05,3:24,เติมเงินเข้าสมุดเงินออม,3000,THB,120,120,120,240,120,120,120,300,150,120
20,2023-01-06,17:51,ซื้อตั๋วชมการแข่งขันฟุตบอล,2000,THB,80,80,80,160,80,80,80,200,200,80
21,2023-01-06,19:19,ซื้อลอตเตอรี่,200,THB,8,8,8,16,8,8,8,20,10,8
22,2023-01-07,14:39,ซื้อเครื่องสำอางที่ Watsons,1000,THB,40,40,40,80,40,40,40,100,100,40
23,2023-01-08,0:01,จองตั๋วเครื่องบินไปภูเก็ต,4000,THB,160,160,160,320,160,160,160,400,400,160
24,2023-01-08,9:57,ชำระค่าสมาชิก Amazon Prime,400,THB,16,16,16,32,16,16,16,40,40,16
25,2023-01-08,0:31,ซื้อเสื้อผ้าออนไลน์ที่ Zalora,1500,THB,60,60,60,120,300,60,60,150,150,60
26,2023-01-08,10:52,ซื้ออาหารที่ร้านอาหารญี่ปุ่น,1200,THB,48,48,48,96,240,48,48,120,60,48
27,2023-01-08,23:35,ซื้อของที่ Tesco Lotus,600,THB,24,24,24,48,24,24,24,60,30,24
28,2023-01-08,11:50,เติมเงินบัตร Rabbit,800,THB,32,32,32,64,32,32,32,80,40,32
29,2023-01-09,23:28,ชำระค่าบริการโทรศัพท์,400,THB,16,16,16,32,16,16,16,40,20,16
30,2023-01-09,2:00,ซื้อหนังสือที่ร้านหนังสือ,350,THB,14,14,14,28,14,14,14,35,17,14
31,2023-01-09,0:36,เติมเงินเข้า Google Play,200,THB,8,8,8,16,8,8,8,20,10,8
32,2023-01-09,21:05,ซื้อของที่ร้านสะดวกซื้อ,150,THB,6,6,6,12,6,6,6,15,7,6
33,2023-01-09,6:40,ซื้อกาแฟที่ร้านกาแฟ,200,THB,8,8,8,16,40,8,8,20,10,8
34,2023-01-10,20:17,จองโรงแรมผ่าน Agoda,6700,THB,268,268,268,536,268,268,268,670,670,568
